product_name,price,rating,sell,location,shop_name,kategori
Lenovo V14 Gen 3 Core I3-1215u 4GB 256GB SSD 14 inch Full HD CBID,Rp4.999.000,4.9,250+ terjual,Jakarta Utara,Thinkpad Official Store,laptop
Lenovo Thinkpad X240 X250 X260 X270 X280 ORIGINAL / BERGARANSI /MURAH,Rp1.760.000,4.9,750+ terjual,Bandung,Gitech Laptop,laptop
Laptop HP 14s-dq3109TU N4500 256GB SSD 8GB Win+OHS Ori,Rp4.589.000,5.0,30+ terjual,Jakarta Selatan,Real Tech - HP Authorized,laptop
Laptop HP 255 G8 AMD Ryzen 5 5500U 16GB 512SSD W11 15.6FHD SLIM BEZEL,Rp5.771.000,5.0,100+ terjual,Jakarta Utara,Top Tech,laptop
"Laptop HP 14S DQ3110TU N4500 8GB 256GB SSD W11 OHS 14""",Rp4.229.000,5.0,100+ terjual,Jakarta Utara,royalltech,laptop
HP 14s-dq5115tu i3-1215U 512GB SSD 4GB Win 11 Home + OHS,Rp6.099.000,5.0,250+ terjual,Jakarta Barat,Sinarmulia Sukses Makmur,laptop
HP Envy 15 x360 Touch i5 1240P EVO 16gb 512ssd IRISXE 15.6FHD IPS,Rp9.299.000,4.8,40+ terjual,Jakarta Utara,Top Tech,laptop
ORICO Adjustable Laptop Stand - PFB-A21,Rp110.500,5.0,500+ terjual,Jakarta Utara,ORICO INDONESIA,laptop
UNEED Dudukan Laptop Stand Holder Laptop Aluminium Alloy - ULS901,Rp110.630,4.9,10rb+ terjual,Jakarta Pusat,Uneed Indonesia,laptop
Laptop Stand - Holder Laptop K321 - Laptop Stand Holder Kacamata Lipat,Rp14.999,4.7,1rb+ terjual,Jakarta Barat,PINZY Official Store,laptop
Tatakan Laptop | Stand Laptop kayu,Rp11.999,4.8,1rb+ terjual,Surabaya,javawoodco,laptop
LAPTOP STAND LIPAT ALUMINIUM HOLDER PORTABLE PENAHAN MEJA LAPTOP,Rp47.990,4.8,1rb+ terjual,Kab. Tangerang,EzzyMart JAKARTA,laptop
"Laptop HP 14s-dq2614tu Intel Core i3-1115G4 | 4GB 512GB SSD | 14"" FHD - RAM 4GB",Rp5.150.000,4.8,1rb+ terjual,Jakarta Barat,GEMINI-ELEKTRONIK,laptop
"Laptop Lenovo T400 Core 2duo - RAM 4GB - HDD 250GB - BERGARANSI - 4 gb, HDD 320GB",Rp1.549.000,4.6,250+ terjual,Bekasi,Debby Batavia Computer,laptop
lenovo thinkpad t480 i7 gen 8 touchscreen,Rp5.000.000,4.6,250+ terjual,Surabaya,IndoLapTech,laptop
"Laptop HP Laptop 14s-dq3111TU-N4500/DDR4/8GB/SSD512GB/14""/Intel UHD",Rp4.725.000,5.0,9 terjual,Surabaya,Level99id - HP Authorized,laptop
"Chuwi HeroBook Air 11.6"" Ultra Slim Notebook",Rp3.199.000,5.0,9 terjual,Jakarta Pusat,Focus Camera Online,laptop
"Acer Spin 3 Active SP313-51N i5-1135G7 8GB 512GB Iris Xe 13.3""FHD W10",Rp9.789.000,4.9,100+ terjual,Jakarta Pusat,Collins Official,laptop
"HP ENVY X360 13 2IN1 TOUCH Core i7 1250 8GB 512GB SSD Iris Xe 13""FHD",Rp11.749.000,4.9,60+ terjual,Jakarta Utara,ROGS STORE,laptop
ACER Swift Go OLED SFG14 71 75HD EVO i7 13700H 16/1TB SSD 2.8K 90Hz,Rp14.699.000,5.0,30+ terjual,Jakarta Utara,Acer Authorized Store Jakarta,laptop
"Laptop ADVAN Soulmate Celeron N4020 4GB/128GB (upgradable) 14"" HD",Rp2.299.000,4.9,2rb+ terjual,Kab. Tangerang,Advan Official Store,laptop
Laptop Lenovo ideapad Slim 1 Celeron N4020 256 GB SSD 8GB Win11+OHS,Rp4.339.000,5.0,750+ terjual,Jakarta Barat,Sinarmulia Sukses Makmur,laptop
Laptop Lenovo X250 Core i5 - RAM 8GB - HDD 500GB - SUPERMURAH,Rp1.880.010,4.8,250+ terjual,Bekasi,Debby Batavia Computer,laptop
"LENOVO IdeaPad 1 14IGL7 N4020 8GB SSD 512GB 14"" Intel® UHD W11 OHS",Rp4.799.000,4.8,250+ terjual,Jakarta Pusat,Collins Official,laptop
Macbook Pro 2013 15 i7 RAM 16GB SSD 256 Good Unit,Rp4.000.000,4.5,4 terjual,Tangerang,Laptop kita!,laptop
"Asus Vivobook 14 A1404ZA i5 1235u 8GB 512GB W11+OHS 14.0FHD VIPS - STANDART, 8GB - 512SSD",Rp9.049.000,4.9,100+ terjual,Jakarta Utara,EnVicStore,laptop
Lenovo Ideapad Slim 5i i7-13620H 16GB 512GB SSD IPS Win11+OHS - Violet,Rp12.899.000,5.0,50+ terjual,Jakarta Barat,Sinarmulia Sukses Makmur,laptop
Macbook Air M2 2022 Midnight Grey Silver Starlight 256GB 512GB Resmi,Rp14.330.000,5.0,250+ terjual,Jakarta Barat,Wah Gadget,laptop
Laptop HP 14s-dq2614TU i3-1115G4 512GB SSD 4GB Intel UHD Win+OHS ORI,Rp5.999.000,4.9,27 terjual,Jakarta Selatan,Real Tech - HP Authorized,laptop
Apple Macbook PRO 2022 M2 Chip 13 inch RAM 8GB 256GB 512GB MNEH3 MNEJ3,Rp18.449.000,5.0,100+ terjual,Jakarta Pusat,Distributor Laptop ID,laptop
HP ENVY X360 15 TOUCH RYZEN 5 5625 32GB 1TBSSD VEGA8 W11 15.6FHD IPS,Rp8.699.000,4.8,80+ terjual,Jakarta Selatan,LAPTOP GROSIR ID,laptop
ASUS Vivobook 13 Slate OLED T3300KA-OLED621 - Black,Rp9.799.000,5.0,40+ terjual,Jakarta Timur,Asus Official Store,laptop
"Hp 14S DQ3110TU Intel N4500 4gb 256ssd 14.0"" HD Backlit Win 11 + OHS",Rp4.229.000,5.0,70+ terjual,Surabaya,Agres ID Surabaya,laptop
"HP 14S DQ2614TU/DQ5115TU i3 1215U - 8GB 512SSD W11+OHS 14.0"" FHD",Rp6.016.000,4.9,250+ terjual,Jakarta Utara,AGRES - HP Authorized,laptop
LAPTOP INFINIX INBOOK X2 I3 1005G1 8GB 256SSD W11 14.0FHD,Rp4.739.000,5.0,20 terjual,Jakarta Utara,ALIENWARE OFFICIAL,laptop
Apple Macbook Air 2022 M2 Chip 13 Inch 256GB 512GB 1TB (CPO) ,Rp14.275.000,5.0,17 terjual,Jakarta Pusat,Joeragan Apple,laptop
Laptop Infinix Inbook X2 I3 1115G4 8GB 256GB SSD W11 14.0 Full HD ips,Rp5.379.000,5.0,21 terjual,Jakarta Pusat,LAPTOP GADGET ID,laptop
"Laptop Lenovo Thinkpad T440/T440S/T440P Core i5/I7 Gen 4 - Layar 14'  - T440 I5.4, RAM 4 HDD 500",Rp1.650.000,5.0,3 terjual,Jakarta Utara,Laptop Valley,laptop
Laptop HP 245 G10 AMD Ryzen 3 7320U 8GB 256SSD RADEON 14.0HD W11,Rp5.232.000,5.0,40+ terjual,Jakarta Utara,Top Tech,laptop
Laptop Lenovo Thinkpad W540 Core i7 RAM 8GB VGA 2GB SSD 128 + HDD 500,Rp4.500.000,4.8,30+ terjual,Jakarta Barat,Specialist Laptop Second,laptop
"Asus Vivobook A1400EA Intel Pentium Gold 7505 | 4GB 256GB SSD | 14""FHD",Rp4.050.000,4.8,30+ terjual,Jakarta Barat,GEMINI-ELEKTRONIK,laptop
LAPTOP PELAJAR LENOVO IDEAPAD SLIM 3 14IGL N4020 4GB 256GB W11 OHS,Rp4.399.000,5.0,13 terjual,Depok,PREMIUM TECH,laptop
"Samsung Chromebook 4 Laptop 11""6 HD 32GB 4GB Garansi SEIN Laptop Murah",Rp1.699.000,4.9,3rb+ terjual,Jakarta Pusat,TeknoTrend,laptop
Lenovo Yoga Slim 7 Pro 14ARH7 Ryzen9 6900HS CreatorEdition 16GB 1TB,Rp16.999.000,5.0,19 terjual,Jakarta Pusat,Lenovo Official,laptop
"Macbook Pro 2019 13"" 15"" Core i5 i7 i9 256GB 512GB 1TB Second",Rp8.700.000,5.0,11 terjual,Jakarta Pusat,Studio Apple,laptop
"LAPTOP HP 14 DQ2032WM i3 1115G4 8GB SSD 512GB 14"" TOUCHSCREEN WIN 11",Rp5.749.000,5.0,28 terjual,Jakarta Pusat,aura technology,laptop
Laptop Lenovo Thinkpad X1 Yoga Core i7 Gen 8 RAM 16GB 2 in 1 Tablet,Rp4.400.000,4.8,80+ terjual,Jakarta Pusat,FoxComp,laptop
Laptop HP 15s-fq5148TU Core i3 UHD 4&8GB RAM 512GB W11 15.6 Inch Intel,Rp6.199.000,4.9,750+ terjual,Jakarta Utara,HP Official,laptop
"ASUS VIVOBOOK ULTRA K513EA OLED - I5 1135G7 8GB 512SSD IRISXE 15"" FHD",Rp8.348.000,4.9,100+ terjual,Jakarta Utara,Intel Store ID,laptop
Asus Zenbook 14X OLED Touch Q420VA I7 13700H 16GB Win 11 14 QHD 120Hz,Rp11.249.000,5.0,16 terjual,Jakarta Pusat,NOTEBOOK GAMING ID,laptop
LAPTOP ASUS EXPERTBOOK B1 B1400CEAE i5 1135G7 16GB 1TBSSD W11 14.0FHD,Rp7.649.000,5.0,70+ terjual,Jakarta Utara,Top Tech,laptop
"Asus Vivobook 14 A1400EA - Core I3 1115G4 8GB 256G SSD 14"" FHD W11 OHS",Rp5.819.000,5.0,100+ terjual,Jakarta Utara,Intel Store ID,laptop
Laptop Lenovo Thinkpad T540P Corei7 4800MQ RAM 8GB Nvidia 1GB Full HD,Rp3.799.000,5.0,25 terjual,Jakarta Barat,Specialist Laptop Second,laptop
"LENOVO YOGA SLIM 7 PRO AMD RYZEN 5-5600H RAM 16GB 512GB SSD 14"" 2.8K",Rp9.899.000,5.0,25 terjual,Jakarta Barat,IT-Mart,laptop
Laptop Asus M415DAO Ryzen 3 3250 8GB 512SSD VEGA3 W10+OHS 14.0FHD,Rp5.129.000,5.0,60+ terjual,Jakarta Utara,Agres ID Bekasi,laptop
"ULTRABOOK DELL 7400 i7-8665 / 32GB RAM / 512GB SSD / FHD IPS - 8GB RAM, 128GB SSD",Rp4.400.000,5.0,3 terjual,Kab. Bogor,Dara speed comp,laptop
